Authors/Speakers,Title,datetime,type,day,date,time,start_time,end_time
"Akbar Rafiey,Yuichi Yoshida",Fast and Private Submodular and kk-Submodular Functions Maximization with Matroid Constraints,Tue Jul 14 04:00 PM -- 04:45 PM,Poster,Tue,Jul 14,Jul 14,04:00 PM,04:45 PM
"Akbar Rafiey,Yuichi Yoshida",Fast and Private Submodular and kk-Submodular Functions Maximization with Matroid Constraints,Wed Jul 15 03:00 AM -- 03:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,03:00 AM,03:45 AM
"Sicong Huang,Alireza Makhzani,Yanshuai Cao,Roger Grosse",Evaluating Lossy Compression Rates of Deep Generative Models,Tue Jul 14 04:00 PM -- 04:45 PM,Poster,Tue,Jul 14,Jul 14,04:00 PM,04:45 PM
"Sicong Huang,Alireza Makhzani,Yanshuai Cao,Roger Grosse",Evaluating Lossy Compression Rates of Deep Generative Models,Wed Jul 15 03:00 AM -- 03:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,03:00 AM,03:45 AM
"Kai Han,Yunhe Wang,Yixing Xu,Chunjing Xu,Enhua Wu,Chang Xu",Training Binary Neural Networks through Learning with Noisy Supervision,Tue Jul 14 04:00 PM -- 04:45 PM,Poster,Tue,Jul 14,Jul 14,04:00 PM,04:45 PM
"Kai Han,Yunhe Wang,Yixing Xu,Chunjing Xu,Enhua Wu,Chang Xu",Training Binary Neural Networks through Learning with Noisy Supervision,Wed Jul 15 05:00 AM -- 05:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,05:00 AM,05:45 AM
"Chaosheng Dong,Bo Zeng","Expert Learning through Generalized Inverse Multiobjective Optimization: Models, Insights and Algorithms",Tue Jul 14 04:00 PM -- 04:45 PM,Poster,Tue,Jul 14,Jul 14,04:00 PM,04:45 PM
"Chaosheng Dong,Bo Zeng","Expert Learning through Generalized Inverse Multiobjective Optimization: Models, Insights and Algorithms",Wed Jul 15 04:00 AM -- 04:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,04:00 AM,04:45 AM
"Rachael Hwee Ling Sim,Yehong Zhang,Bryan Kian Hsiang Low,Mun Choon Chan",Collaborative Machine Learning with Incentive-Aware Model Rewards,Tue Jul 14 04:00 PM -- 04:45 PM,Poster,Tue,Jul 14,Jul 14,04:00 PM,04:45 PM
"Rachael Hwee Ling Sim,Yehong Zhang,Bryan Kian Hsiang Low,Mun Choon Chan",Collaborative Machine Learning with Incentive-Aware Model Rewards,Wed Jul 15 05:00 AM -- 05:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,05:00 AM,05:45 AM
"Hu Ding,Zixiu Wang",Layered Sampling for Robust Optimization Problems,Tue Jul 14 04:00 PM -- 04:45 PM,Poster,Tue,Jul 14,Jul 14,04:00 PM,04:45 PM
"Hu Ding,Zixiu Wang",Layered Sampling for Robust Optimization Problems,Wed Jul 15 04:00 AM -- 04:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,04:00 AM,04:45 AM
"Yinjun Wu,Edgar Dobriban,Susan B Davidson",DeltaGrad: Rapid retraining of machine learning models,Tue Jul 14 04:00 PM -- 04:45 PM,Poster,Tue,Jul 14,Jul 14,04:00 PM,04:45 PM
"Yinjun Wu,Edgar Dobriban,Susan B Davidson",DeltaGrad: Rapid retraining of machine learning models,Wed Jul 15 03:00 AM -- 03:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,03:00 AM,03:45 AM
"Xiaobo Wang,Shuo Wang,Shifeng Zhang,Cheng Chi,Tao Mei",Loss Function Search for Face Recognition,Tue Jul 14 04:00 PM -- 04:45 PM,Poster,Tue,Jul 14,Jul 14,04:00 PM,04:45 PM
"Xiaobo Wang,Shuo Wang,Shifeng Zhang,Cheng Chi,Tao Mei",Loss Function Search for Face Recognition,Wed Jul 15 04:00 AM -- 04:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,04:00 AM,04:45 AM
"Marjan Albooyeh,Daniele Bertolini,Siamak Ravanbakhsh",Incidence Networks for Geometric Deep Learning,Tue Jul 14 04:00 PM -- 04:45 PM,Poster,Tue,Jul 14,Jul 14,04:00 PM,04:45 PM
"Marjan Albooyeh,Daniele Bertolini,Siamak Ravanbakhsh",Incidence Networks for Geometric Deep Learning,Wed Jul 15 03:00 AM -- 03:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,03:00 AM,03:45 AM
"Sijia Liu,Songtao Lu,Xiangyi Chen,Yao Feng,Kaidi Xu,Abdullah Al-Dujaili,Mingyi Hong,Una-May O'Reilly",Min-Max Optimization without Gradients: Convergence and Applications to Black-Box Evasion and Poisoning Attacks,Tue Jul 14 04:00 PM -- 04:45 PM,Poster,Tue,Jul 14,Jul 14,04:00 PM,04:45 PM
"Sijia Liu,Songtao Lu,Xiangyi Chen,Yao Feng,Kaidi Xu,Abdullah Al-Dujaili,Mingyi Hong,Una-May O'Reilly",Min-Max Optimization without Gradients: Convergence and Applications to Black-Box Evasion and Poisoning Attacks,Wed Jul 15 03:00 AM -- 03:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,03:00 AM,03:45 AM
"LEI FENG,Takuo Kaneko,Bo Han,Gang Niu,Bo An,Masashi Sugiyama",Learning with Multiple Complementary Labels,Tue Jul 14 04:00 PM -- 04:45 PM,Poster,Tue,Jul 14,Jul 14,04:00 PM,04:45 PM
"LEI FENG,Takuo Kaneko,Bo Han,Gang Niu,Bo An,Masashi Sugiyama",Learning with Multiple Complementary Labels,Wed Jul 15 04:00 AM -- 04:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,04:00 AM,04:45 AM
Yuandong Tian,Student Specialization in Deep Rectified Networks With Finite Width and Input Dimension,Tue Jul 14 04:00 PM -- 04:45 PM,Poster,Tue,Jul 14,Jul 14,04:00 PM,04:45 PM
Yuandong Tian,Student Specialization in Deep Rectified Networks With Finite Width and Input Dimension,Wed Jul 15 05:00 AM -- 05:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,05:00 AM,05:45 AM
